               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.021055,            0.012792,                   0,             0.89224,                 0.8,             0.97682,             0.68086,           0.0067641,           0.0034106,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.021254,            0.013077,                   0,             0.81397,                   1,             0.96833,             0.63669,           0.0066325,           0.0034595,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.020864,            0.011309,                   0,             0.83025,                   1,             0.97682,              0.6887,           0.0058999,           0.0035117,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.022803,            0.011478,                   0,              0.8214,                   1,             0.98591,             0.69012,           0.0058675,           0.0036092,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.019564,            0.012217,                   0,             0.90895,             0.99844,             0.97682,             0.64477,           0.0069847,           0.0036955,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.021251,            0.012395,                   0,             0.82485,             0.94403,             0.93833,             0.63974,           0.0062785,           0.0035472,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.019874,            0.012699,                   0,             0.82112,             0.91942,             0.92833,              0.4832,            0.010322,           0.0033271,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.019794,            0.012309,                   0,             0.85963,                 0.9,             0.92833,             0.53728,           0.0090201,           0.0033462,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.020579,            0.011143,                   0,              0.8188,             0.90405,             0.91722,             0.57942,           0.0066154,           0.0034447,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.019199,            0.012277,                   0,             0.82283,             0.93068,             0.91722,             0.51103,           0.0079233,           0.0033457,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.020265,             0.01175,                   0,             0.82107,             0.91907,             0.91722,              0.5991,           0.0067667,           0.0034676,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.015866,            0.010551,                   0,             0.89843,             0.88589,             0.91192,              0.5362,           0.0096438,           0.0033667,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,             0.01663,            0.011844,                   0,             0.80632,             0.83475,             0.93714,             0.57154,           0.0093077,           0.0033939,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.018768,            0.013119,                   0,              0.8282,             0.96613,             0.93944,             0.60053,           0.0072525,            0.003499,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.019668,            0.012587,                   0,             0.75882,                   1,             0.94263,             0.62717,           0.0066932,           0.0035374,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.018236,            0.013734,                   0,             0.82325,             0.93344,             0.95833,             0.61491,           0.0070734,           0.0035682,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.015591,              0.0114,                   0,             0.75779,                   1,             0.96773,             0.63608,           0.0069605,           0.0035837,                   0,            0.004258,            0.004258,            0.004258
                 118,              0.0161,             0.01201,                   0,                   1,             0.94632,               0.995,             0.66656,           0.0067285,            0.003562,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.016277,            0.011361,                   0,                   1,             0.96637,               0.995,             0.66919,           0.0058627,           0.0035832,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.023118,            0.012233,                   0,                   1,             0.96089,               0.995,             0.71594,           0.0056551,           0.0034606,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.018598,            0.012487,                   0,                   1,             0.95951,               0.995,             0.66709,            0.005882,           0.0033979,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.017155,            0.012193,                   0,             0.90012,             0.90129,             0.98591,             0.66507,           0.0062119,           0.0033832,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.015896,            0.010884,                   0,             0.94049,                 0.9,             0.98591,              0.6499,           0.0074115,           0.0033638,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.019547,            0.012323,                   0,             0.90503,             0.95532,             0.98591,             0.70217,           0.0065591,           0.0034862,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.021608,            0.013047,                   0,             0.92483,                 0.9,             0.97833,             0.62539,           0.0083778,           0.0034618,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.016555,            0.010062,                   0,                   1,             0.88319,             0.97833,             0.66701,           0.0075447,           0.0034935,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.016095,            0.010511,                   0,                   1,             0.95266,               0.995,             0.64378,           0.0073373,           0.0032334,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.020102,            0.011141,                   0,             0.90063,                 0.9,             0.98591,             0.66392,           0.0068728,           0.0034783,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.019015,             0.01157,                   0,                   1,             0.97573,               0.995,             0.62276,           0.0072254,           0.0036683,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.018829,            0.012293,                   0,                   1,             0.99885,               0.995,             0.62482,           0.0073058,            0.003577,                   0,           0.0036145,           0.0036145,           0.0036145
